session_id,date,duration_hrs,active_hrs,bank_hrs,trips,total_kills,total_attacks,actual_supply_cost,rng_variance_gp,t_ngp_hr,astb,miss_per_hr,delta_kph,config_weapon_Dragon hunter crossbow,config_ammo_Diamond bolts (e),config_ammo_Dragonstone bolts (e),config_ammo_Pearl dragon bolts (e),config_ammo_Runite Bolts,config_ring_Archers ring (i),config_ring_Ring of the gods (i),config_back_Ava's assembler,config_back_Ranging cape (t),config_feet_Devout Boots,config_feet_Pegasian boots,config_feet_Saradomin d'hide boots,config_prayer_Rigour,config_tele_Xeric's Talisman,config_bank_Ring of dueling,config_bones_Bonecrusher necklace,config_bones_Pick up bones,config_pray_restore_Moonlight Moth,config_pray_restore_Prayer Potions,config_hands_Saradomin bracers,config_hands_Zaryte vambraces,config_head_Masori mask (f),config_head_Saradomin coif,config_body_Masori body (f),config_body_Saradomin d'hide body,config_legs_Masori chaps (f),config_legs_Saradomin chaps
session_1770249344,2026-02-04,4.206633525555556,0.0,0.46428982333333335,32,282,0,797860.75,704810.2946100114,1453879.4307218092,52.232605125,,,True,True,False,False,False,False,True,False,True,False,True,False,True,True,True,True,False,False,True,False,True,True,False,True,False,True,False
session_1770597782,2026-02-08,1.44586456,0.0,0.12052856472222223,11,100,0,301463.0,4116446.33142199,1487164.6543283488,39.4457120909091,,,True,True,False,False,False,False,True,False,True,False,True,False,True,True,True,True,False,False,True,False,True,True,False,True,False,True,False
session_1771311728,2026-02-17,0.9610456341666667,0.0,0.07248180222222222,7,69,0,184200.25,225694.84868117305,1568576.8164650935,37.27635542857143,,,True,True,False,False,False,False,True,False,True,False,True,False,True,True,True,True,False,False,True,False,True,True,False,True,False,True,False
session_1771481807,2026-02-19,0.4159436022222222,0.0,0.03024980111111111,4,35,0,448161.0,30630.41599769646,985553.2860998105,27.224821,,,True,False,False,True,False,False,True,False,True,False,True,False,True,True,True,True,False,False,True,False,True,True,False,True,False,True,False
session_1771483376,2026-02-19,1.04089549,0.0,0.07615510333333333,8,72,0,206903.0,260292.79862383264,1497097.6590321928,34.2697965,,,True,True,False,False,False,False,True,False,True,False,True,False,True,True,True,True,False,False,True,False,True,True,False,True,False,True,False
session_1771547365,2026-02-19,0.15013697833333334,0.0,0.0,0,9,0,25883.75,43345.84982797908,1297278.007950812,0.0,,,True,True,False,False,False,False,True,False,True,False,True,False,True,True,True,True,False,False,True,False,True,True,False,True,False,True,False
session_1771696199,2026-02-21,1.8509587516666668,0.0,0.1662117375,14,130,0,351137.0,93550.83084858675,1532219.5411419696,42.740161071428574,,,True,True,False,False,False,False,True,False,True,False,True,False,True,True,True,True,False,False,True,False,True,True,False,True,False,True,False
session_1771729866,2026-02-21,1.6858778008333333,0.0,0.1755496813888889,12,114,0,282586.25,89672.09782106848,1490234.7316852203,52.66490441666667,,,True,True,False,False,False,False,True,False,True,False,True,False,True,True,True,True,False,False,True,False,True,True,False,True,False,True,False
session_1771746929,2026-02-22,0.9390389552777778,0.8320557697614034,0.08102316638888889,7,65,965,165720.75,-160585.08457570663,1520581.5760362388,41.669057,39.660803036631705,-3.8768668088997202,True,True,False,False,False,False,True,False,True,False,True,False,True,True,True,True,False,False,True,False,True,True,False,True,False,True,False
session_1771799745,2026-02-22,1.6520462619444445,1.4010211853848564,0.2380801252777778,13,110,1628,295621.0,570878.164564189,1453500.9646821627,65.92988084615385,37.82954929795802,-3.6248012718601075,True,True,False,False,False,False,True,False,True,False,True,False,True,True,True,True,False,False,True,False,True,True,False,True,False,True,False
