date,index_level,daily_return
2026-03-02,1000.0,0.0
2026-03-03,996.3868952596698,-0.0036131047403301962
2026-03-04,995.2171840222213,-0.0011739528520632362
2026-03-05,997.9737579294965,0.00276982145357893
2026-03-06,998.3002816551182,0.00032718668504776665
2026-03-07,1002.019726053953,0.0037257771706407814
2026-03-08,1000.9436835950474,-0.0010738735285612988
2026-03-09,993.7857922830319,-0.007151142895778945
2026-03-10,991.7212159118233,-0.0020774863026222596
2026-03-11,986.9185053657591,-0.004842803067037787
2026-03-12,978.7530150501103,-0.00827372297839581
2026-03-13,971.8038950961728,-0.007099972972835969
2026-03-14,968.3573803428069,-0.0035465125945238806
2026-03-15,969.0824824238381,0.0007487959463627681
2026-03-16,967.3961452154151,-0.001740137954207182
2026-03-17,960.9759235777673,-0.006636600393128782
2026-03-18,955.7114916482415,-0.005478214178276248
2026-03-19,955.1171186850648,-0.0006219167273500458
2026-03-20,957.1012805412423,0.0020774016268384032
2026-03-21,959.567313962007,0.002576564749103852
2026-03-22,957.0373053952314,-0.0026366139508537945
2026-03-23,949.4434181424292,-0.007934787087182777
2026-03-24,938.1322014071344,-0.011913523775250392
2026-03-25,930.5104703760945,-0.008124367780583331
2026-03-26,925.0522115692137,-0.005865875753847986
2026-03-27,925.6483245635811,0.0006444101067076578
2026-03-28,931.4659210057898,0.006284888426662073
2026-03-29,936.5186101444929,0.005424448736940555
2026-03-30,934.3292101191995,-0.002337807280685719
2026-03-31,930.6344858331048,-0.003954413761315812
2026-04-01,927.9137954216641,-0.0029234790380727816
2026-04-02,926.6870423963093,-0.0013220549488623236
2026-04-03,924.5240755496787,-0.002334085562518851
2026-04-04,924.5412032110715,1.852592252144217e-05
2026-04-05,923.1207952704747,-0.0015363381703958827
2026-04-06,920.3178159878709,-0.0030364165740438803
2026-04-07,917.7561201755277,-0.0027834904071626773
2026-04-08,916.7159661003554,-0.0011333665363880976
2026-04-09,914.5415667134388,-0.0023719444924324654
2026-04-10,913.9159776136452,-0.0006840466552458373
2026-04-11,916.4152935349218,0.0027347327133975616
2026-04-12,917.0700374721683,0.0007144620368795641
2026-04-13,915.9995448652588,-0.0011672964584692421
2026-04-14,913.0268207497813,-0.003245333616311731
2026-04-15,906.9796889972449,-0.00662316989502078
2026-04-16,908.2975401737505,0.001453010682039155
2026-04-17,911.2466229483156,0.0032468245746883834
2026-04-18,918.5038133497642,0.00796402446789673
2026-04-19,921.4736182452639,0.0032333070939237455
2026-04-20,917.6525158760801,-0.0041467300783502225
2026-04-21,915.006384775354,-0.0028835872565551156
2026-04-22,913.0536826356853,-0.002134085807661526
2026-04-23,915.3382846585528,0.002502155203265348
2026-04-24,918.452098636428,0.0034018176996024217
2026-04-25,919.4229784804955,0.0010570827215801244
2026-04-26,920.794877246696,0.001492130171107749
2026-04-27,920.961713993518,0.0001811877443549605
2026-04-28,918.1319951344504,-0.0030725694847803207
2026-04-29,914.8591348377622,-0.00356469474327486
2026-04-30,918.5453660238442,0.004029288275878399
2026-05-01,923.9346270491244,0.00586716914005993
2026-05-02,927.0400159880701,0.0033610483339754534
2026-05-03,926.7961276148812,-0.0002630828971593857
2026-05-04,925.2843927014383,-0.0016311407313855156
2026-05-05,922.7562566308575,-0.002732280032520221
2026-05-06,923.0069934214933,0.00027172591768851134
2026-05-07,923.6286748097868,0.0006735391960455152
2026-05-08,924.8841846426726,0.0013593231426517478
2026-05-09,928.799252441443,0.0042330357289900615
2026-05-10,929.3977963289777,0.0006444276155060991
2026-05-11,925.6410646648849,-0.004042113806307302
2026-05-12,921.6971814208885,-0.0042607047100101094
2026-05-13,920.8779204556332,-0.0008888613112522084
2026-05-14,924.0061084986525,0.0033969628042243016
2026-05-15,926.8376560416018,0.003064425134104493
2026-05-16,927.9073497849411,0.0011541328045600759
