item_id,priced_days,volume_days,trailing_60d_total_val,trailing_60d_avg_daily_val,eligible,exclusion_reason,rank,selected,weighting_basis_sqrt_val,rebalance_date,item_name
131,60,60,125197176,2086619.6,True,,2346.0,False,1444.5136205657598,2026-03-02,Restore potion(1)
133,60,60,64474811,1074580.1833333333,True,,2604.0,False,1036.6195943224945,2026-03-02,Defence potion(3)
135,60,60,1120827523,18680458.716666665,True,,1527.0,False,4322.0896238586565,2026-03-02,Defence potion(2)
137,60,60,1233595028,20559917.133333333,True,,1493.0,False,4534.304481762702,2026-03-02,Defence potion(1)
139,60,60,172148110404,2869135173.4,True,,239.0,False,53564.30876432552,2026-03-02,Prayer potion(3)
141,60,60,2955714570,49261909.5,True,,1213.0,False,7018.682889260634,2026-03-02,Prayer potion(2)
143,60,60,1384747832,23079130.533333335,True,,1457.0,False,4804.074368006113,2026-03-02,Prayer potion(1)
145,60,60,33595422510,559923708.5,True,,566.0,False,23662.707125348104,2026-03-02,Super attack(3)
147,60,60,160515690,2675261.5,True,,2246.0,False,1635.6226643086113,2026-03-02,Super attack(2)
149,60,60,161796992,2696616.533333333,True,,2239.0,False,1642.1377936498914,2026-03-02,Super attack(1)
151,60,60,8476998,141283.3,True,,3419.0,False,375.8767085095856,2026-03-02,Fishing potion(3)
153,60,60,637364,10622.733333333334,True,,3895.0,False,103.06664510564673,2026-03-02,Fishing potion(2)
155,60,60,109266,1821.1,True,,3972.0,False,42.67434826684527,2026-03-02,Fishing potion(1)
157,60,60,58459121761,974318696.0166667,True,,448.0,False,31214.078490589254,2026-03-02,Super strength(3)
159,60,60,225315657,3755260.95,True,,2106.0,False,1937.8495684650036,2026-03-02,Super strength(2)
161,60,60,151154795,2519246.5833333335,True,,2279.0,False,1587.213464954646,2026-03-02,Super strength(1)
163,60,60,47454618373,790910306.2166667,True,,493.0,False,28123.127603747536,2026-03-02,Super defence(3)
165,60,60,159974069,2666234.4833333334,True,,2247.0,False,1632.8608279131854,2026-03-02,Super defence(2)
167,60,60,115512442,1925207.3666666667,True,,2373.0,False,1387.5184202981475,2026-03-02,Super defence(1)
169,60,60,39414199565,656903326.0833334,True,,537.0,False,25630.125362224302,2026-03-02,Ranging potion(3)
171,60,60,1443320283,24055338.05,True,,1443.0,False,4904.624149718305,2026-03-02,Ranging potion(2)
173,60,60,574480648,9574677.466666667,True,,1763.0,False,3094.2975724171497,2026-03-02,Ranging potion(1)
175,60,60,71899362,1198322.7,True,,2560.0,False,1094.679268096368,2026-03-02,Antipoison(3)
177,60,60,10791086,179851.43333333332,True,,3320.0,False,424.0889450732397,2026-03-02,Antipoison(2)
179,60,60,5710500,95175.0,True,,3541.0,False,308.504457018047,2026-03-02,Antipoison(1)
181,60,60,1818222513,30303708.55,True,,1363.0,False,5504.880430127434,2026-03-02,Superantipoison(3)
183,60,60,64194960,1069916.0,True,,2606.0,False,1034.3674395494088,2026-03-02,Superantipoison(2)
185,60,60,38692554,644875.9,True,,2782.0,False,803.0416552084954,2026-03-02,Superantipoison(1)
187,60,60,298224270,4970404.5,True,,2003.0,False,2229.4404006386894,2026-03-02,Weapon poison
189,60,60,152496473,2541607.8833333333,True,,2273.0,False,1594.242103111486,2026-03-02,Zamorak brew(3)
191,60,60,725284,12088.066666666668,True,,3886.0,False,109.94574419533785,2026-03-02,Zamorak brew(2)
193,60,60,3479714,57995.23333333333,True,,3648.0,False,240.82199511949347,2026-03-02,Zamorak brew(1)
197,60,60,19686828,328113.8,True,,3081.0,False,572.8121856245727,2026-03-02,Poison chalice
199,60,60,9661751333,161029188.88333333,True,,875.0,False,12689.727691457107,2026-03-02,Grimy guam leaf
201,60,60,1385666172,23094436.2,True,,1455.0,False,4805.667092090337,2026-03-02,Grimy marrentill
203,60,60,4785941381,79765689.68333334,True,,1080.0,False,8931.163960164058,2026-03-02,Grimy tarromin
205,60,60,22799641837,379994030.6166667,True,,668.0,False,19493.43557756474,2026-03-02,Grimy harralander
207,60,60,288806022313,4813433705.216666,True,,178.0,False,69378.91398124264,2026-03-02,Grimy ranarr weed
209,60,60,67157533794,1119292229.9,True,,421.0,False,33455.82505185009,2026-03-02,Grimy irit leaf
211,60,60,90421156755,1507019279.25,True,,365.0,False,38820.34620208841,2026-03-02,Grimy avantoe
213,60,60,84468923898,1407815398.3,True,,376.0,False,37520.86617203819,2026-03-02,Grimy kwuarm
215,60,60,88809247207,1480154120.1166666,True,,369.0,False,38472.77115203253,2026-03-02,Grimy cadantine
217,60,60,78328574183,1305476236.3833334,True,,390.0,False,36131.374681616166,2026-03-02,Grimy dwarf weed
219,60,60,105421522846,1757025380.7666667,True,,328.0,False,41916.88658245823,2026-03-02,Grimy torstol
221,60,60,187780763,3129679.3833333333,True,,2170.0,False,1769.089987347544,2026-03-02,Eye of newt
223,60,60,19151992764,319199879.4,True,,708.0,False,17866.165772207532,2026-03-02,Red spiders' eggs
225,60,60,25677148534,427952475.56666666,True,,636.0,False,20687.012243595418,2026-03-02,Limpwurt root
227,60,60,798254204,13304236.733333332,True,,1642.0,False,3647.4973246506065,2026-03-02,Vial of water
229,60,60,581611054,9693517.566666666,True,,1756.0,False,3113.441434597199,2026-03-02,Vial
231,60,60,58957440414,982624006.9,True,,446.0,False,31346.834080972196,2026-03-02,Snape grass
233,60,60,16649768,277496.13333333336,True,,3148.0,False,526.7790175522687,2026-03-02,Pestle and mortar
235,60,60,1813404148,30223402.466666665,True,,1364.0,False,5497.581510688738,2026-03-02,Unicorn horn dust
